#,Location,Governorate,Latitude,Longitude,Notes
1,Downtown Cairo (Tahrir Square),Cairo,30.04444,31.2357,
2,Maadi,Cairo,29.96028,31.26028,
3,Al Shorouk City,Cairo,30.12778,31.62778,
4,Helwan,Cairo,29.84167,31.33639,
5,Al Marj,Cairo,30.15972,31.33611,
6,Ain Shams,Cairo,30.12917,31.31306,
7,New Cairo (First Settlement),Cairo,30.03,31.47028,
8,New Cairo (Fifth Settlement),Cairo,30.01028,31.47111,
9,Hadayek Al Qubbah,Cairo,30.09194,31.28,
10,6th of October City (District 1),Giza,30.01667,31,
11,6th of October City (District 12),Giza,29.98056,30.94194,
12,Al Haram (Pyramids Area),Giza,29.9775,31.13333,
13,Dokki,Giza,30.04028,31.21083,
14,Boulaq Al Dakrour,Giza,29.98417,31.22972,
15,Imbaba,Giza,30.08639,31.22444,
16,Al Ayat,Giza,29.61861,31.25722,
17,Sheikh Zayed City,Giza,30.05,31,
18,Al Hawamdeyah,Giza,29.9,31.26667,
19,Downtown Alexandria (Eastern Harbour),Alexandria,31.19806,29.91917,
20,Smouha,Alexandria,31.23722,29.95833,
21,New Borg El Arab City,Alexandria,30.93056,29.695,
22,Tanta City Center,Gharbia,30.7825,30.99861,
23,Al Mahalla Al Kubra,Gharbia,30.97083,31.16861,
24,Mansoura City Center,Dakahlia,31.04,31.38167,
25,New Mansoura City,Dakahlia,31.11833,31.64639,
26,Mit Ghamr,Dakahlia,30.71667,31.26167,
27,Zagazig,Sharqia,30.58778,31.50222,
28,10th of Ramadan City,Sharqia,30.29639,31.74528,
29,Kafr El Sheikh (City Center),Kafr El Sheikh,31.11111,30.93611,
30,Disuq,Kafr El Sheikh,31.12778,30.6475,
31,Damanhur City Center,Beheira,31.0375,30.46611,
32,Idku,Beheira,31.31667,30.29944,
33,Benha,Qalyubia,30.46639,31.18528,
34,Qalyub,Qalyubia,30.17583,31.20417,
35,Shubra El Kheima,Qalyubia,30.12833,31.24222,
36,Shibin El Kom,Monufia,30.55472,31.0125,
37,Menouf,Monufia,30.46667,30.93333,
38,Sadat City,Monufia,30.36528,30.52583,
39,Talkha,Dakahlia,31.05028,31.36833,
40,Aga,Dakahlia,30.94167,31.29083,
41,Belqas,Dakahlia,31.35833,31.36306,
42,San El Hagar (Tanis),Sharqia,30.78333,32.16667,
43,Abu Al Matamir,Beheira,30.91056,30.17472,
44,Port Said (City Center),Port Said,31.26528,32.30194,
45,Port Fouad,Port Said,31.255,32.31667,
46,Ismailia (City Center),Ismailia,30.58333,32.26667,
47,Fayed,Ismailia,30.32917,32.30833,
